City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Innoshima,JP,34.2833,133.1833,79.09,72,40,2.17,scattered clouds
247,Port Alfred,ZA,-33.5906,26.891,66.24,36,100,7.27,overcast clouds
248,Andrelandia,BR,-21.7397,-44.3092,49.57,66,17,5.32,few clouds
249,Kantang,TH,7.4054,99.5156,78.15,90,100,9.17,overcast clouds
250,Kalmar,SE,56.6616,16.3616,60.96,93,20,3.44,few clouds
251,Akyab,MM,20.15,92.9,81.3,87,100,13.56,overcast clouds
252,Balabac,PH,7.9868,117.0645,82.9,77,53,11.83,broken clouds
253,La Ronge,CA,55.1001,-105.2842,79.02,36,20,6.91,smoke
254,Salinopolis,BR,-0.6136,-47.3561,77.74,86,30,11.95,moderate rain
255,Mons,BE,50.4538,3.9516,60.84,78,15,4.61,few clouds
256,Avallon,FR,47.4833,3.9,58.3,89,100,4.94,overcast clouds
257,Kloulklubed,PW,7.0419,134.2556,81.1,73,94,8.43,overcast clouds
258,Georgetown,MY,5.4112,100.3354,78.73,93,40,5.99,scattered clouds
259,Kahului,US,20.8947,-156.47,86.97,65,20,29.93,few clouds
260,Shitanjing,CN,39.2342,106.3439,66.52,51,0,5.59,clear sky
261,Padang,ID,-0.9492,100.3543,76.12,88,100,3.33,overcast clouds
262,Husavik,IS,66.0449,-17.3389,53.51,71,81,3.87,broken clouds
263,Junction City,US,39.0286,-96.8314,82.4,72,20,11.5,light intensity drizzle
264,San Ignacio,BZ,17.1561,-89.0714,75.34,94,75,0.0,broken clouds
265,Tasiilaq,GL,65.6145,-37.6368,50.16,78,69,3.0,broken clouds
266,Meulaboh,ID,4.1363,96.1285,75.2,85,100,2.91,overcast clouds
267,Port Hardy,CA,50.6996,-127.4199,62.78,82,40,12.66,scattered clouds
268,Bako,ET,5.7833,36.5667,65.17,62,100,4.59,overcast clouds
269,Puerto Ayacucho,VE,5.6639,-67.6236,75.22,91,96,4.74,overcast clouds
270,Tianpeng,CN,30.9866,103.9393,72.07,62,0,3.6,clear sky
271,Nioro,GM,13.35,-15.75,78.24,85,100,6.76,overcast clouds
272,Buala,SB,-8.145,159.5921,79.18,85,100,11.18,moderate rain
273,Cap Malheureux,MU,-19.9842,57.6142,70.47,76,0,5.99,clear sky
274,Pangkalanbuun,ID,-2.6833,111.6167,72.77,97,18,1.77,few clouds
275,Mahonda,TZ,-6.45,39.4667,77.11,80,39,15.03,scattered clouds
276,Ketchikan,US,55.3422,-131.6461,73.87,56,1,11.5,clear sky
277,Mantua,IT,45.1667,10.7833,79.12,78,21,1.99,few clouds
278,Save,BJ,8.0425,2.486,74.7,82,100,5.44,overcast clouds
279,Kabinda,CD,-6.1333,24.4833,67.95,34,19,5.73,few clouds
280,Pauini,BR,-7.7136,-66.9764,81.41,38,40,2.35,scattered clouds
281,Macusani,PE,-14.0833,-70.4333,40.77,70,42,7.07,scattered clouds
282,Mahanoro,MG,-19.9,48.8,63.21,86,39,6.33,light rain
283,Adeje,ES,28.1227,-16.726,75.22,64,0,5.01,clear sky
284,Ascension,US,30.2169,-90.9001,94.26,55,92,5.82,heavy intensity rain
285,Brawley,US,32.9787,-115.5303,106.48,30,1,3.44,clear sky
286,Madang,PG,-5.2246,145.7966,76.73,84,70,3.13,broken clouds
287,Ballitoville,ZA,-29.539,31.2144,61.25,93,0,1.14,clear sky
288,Fort Saint James,CA,54.4333,-124.25,91.18,21,0,5.46,clear sky
289,Nichinan,JP,31.6,131.3667,79.75,85,88,2.68,overcast clouds
290,Pangnirtung,CA,66.1451,-65.7125,54.34,60,100,3.96,overcast clouds
291,Manokwari,ID,-0.8667,134.0833,78.62,80,73,3.6,broken clouds
292,Knysna,ZA,-34.0363,23.0471,53.98,37,26,2.86,scattered clouds
293,Plattling,DE,48.7833,12.8667,68.22,76,79,3.78,broken clouds
294,Atar,MR,20.5169,-13.0499,94.98,27,5,10.58,clear sky
295,Lar,IN,26.2039,83.9717,80.29,83,100,20.11,overcast clouds
296,Egvekinot,RU,66.3167,-179.1667,38.07,62,94,4.47,overcast clouds
297,Mataram,ID,-8.5833,116.1167,72.41,79,56,8.5,broken clouds
298,College,US,64.8569,-147.8028,77.58,46,40,4.61,scattered clouds
299,Myitkyina,MM,25.3833,97.4,74.12,99,99,1.01,overcast clouds
300,Casma,CL,-41.0082,-73.1244,49.28,89,20,1.88,few clouds
301,Akureyri,IS,65.6835,-18.0878,53.53,82,0,9.22,clear sky
302,Klamath Falls,US,42.2249,-121.7817,86.86,36,20,3.0,few clouds
303,Tarquinia,IT,42.2482,11.7553,79.61,90,36,10.13,scattered clouds
304,Codrington,AU,-38.2667,141.9667,41.7,89,30,8.08,scattered clouds
305,Gushikawa,JP,26.3544,127.8686,81.99,92,75,6.91,mist
306,Yermolayevo,RU,52.7167,55.8,67.23,73,25,3.6,scattered clouds
307,Lai,TD,9.3952,16.2989,71.31,94,100,3.94,overcast clouds
308,Nome,US,64.5011,-165.4064,48.27,93,90,19.57,overcast clouds
309,Quito,EC,-0.2299,-78.5249,72.55,52,55,5.55,light rain
310,Senno,RU,59.5336,33.9167,49.26,78,6,5.06,clear sky
311,Hami,CN,42.8,93.45,77.81,38,100,14.56,overcast clouds
312,Buraydah,SA,26.326,43.975,91.85,11,2,7.18,clear sky
313,Bethel,US,41.3712,-73.414,77.13,55,20,8.05,few clouds
314,Okhotsk,RU,59.3833,143.3,63.07,59,11,9.93,few clouds
315,Caravelas,BR,-17.7125,-39.2481,67.8,77,49,11.9,scattered clouds
316,Constitucion,CL,-35.3333,-72.4167,53.73,77,56,11.32,broken clouds
317,Vallenar,CL,-28.5708,-70.7581,68.02,35,0,3.53,clear sky
318,Tahe,CN,52.3333,124.7333,50.61,99,100,7.99,heavy intensity rain
319,Sibolga,ID,1.7427,98.7792,74.34,97,100,3.6,overcast clouds
320,High Level,CA,58.5169,-117.136,86.11,39,1,4.61,clear sky
321,Rocha,UY,-34.4833,-54.3333,46.9,78,12,4.12,few clouds
322,Port Augusta,AU,-32.5,137.7667,46.71,91,35,3.06,scattered clouds
323,Mayo,US,38.8876,-76.5119,83.86,60,1,3.0,clear sky
324,San Rafael,AR,-34.6177,-68.3301,54.3,44,9,5.88,clear sky
325,Agadir,MA,30.4202,-9.5982,72.05,60,1,4.03,clear sky
326,Zhaotong,CN,27.3167,103.7167,54.95,84,2,1.72,clear sky
327,Erdenet,MN,49.0333,104.0833,52.47,89,60,2.33,broken clouds
