City_ID,City,Country,Max Temp,Date,Lat,Lng,Hotel Name
181,Kyzyl-Suu,KG,70.83,2021-07-25 15:17:42,42.3414,78.0056,Gostinitsa Nur-Ordo
183,Namwala,ZM,70.74,2021-07-25 15:21:39,-15.7504,26.4384,Corner Point Lodge
184,Atbasar,KZ,71.83,2021-07-25 15:21:40,51.8,68.3333,"The Ritz-Carlton, Astana"
186,The Valley,AI,87.66,2021-07-25 15:18:59,18.217,-63.0578,CeBlue Villas & Beach Resort
188,Wilmington,US,88.95,2021-07-25 15:18:11,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
190,Rosarito,MX,70.09,2021-07-25 15:21:41,32.3333,-117.0333,Hotel Festival Plaza Rosarito
192,Luangwa,ZM,73.98,2021-07-25 15:21:42,-15.6167,30.4167,Gerasimos Safari Lodge
195,Saint George,US,86.54,2021-07-25 15:21:43,37.1041,-113.5841,Best Western Plus Abbey Inn
198,Kasangulu,CD,81.54,2021-07-25 15:21:44,-4.5911,15.1708,Hôtel le Relais
199,Vila Franca Do Campo,PT,75.61,2021-07-25 15:21:44,37.7167,-25.4333,Pestana Bahia Praia
200,Jiamusi,CN,73.24,2021-07-25 15:21:45,46.8333,130.35,Riversky Hotel
203,Masalli,KR,80.28,2021-07-25 15:21:45,34.7959,126.6553,영암펜션
207,Cururupu,BR,88.72,2021-07-25 15:17:21,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
208,Mayskiy,RU,87.21,2021-07-25 15:21:46,47.6931,40.1025,Dio Lakrua
209,Cidreira,BR,72.91,2021-07-25 15:21:47,-30.1811,-50.2056,Hotel Castelo
211,Paso De Los Toros,UY,70.32,2021-07-25 15:21:47,-32.8167,-56.5167,Complejo Isabelino
214,Shingu,JP,76.91,2021-07-25 15:21:48,33.7333,135.9833,Shingu UI Hotel
216,Bethel,US,72.48,2021-07-25 15:21:49,41.3712,-73.414,Courtyard by Marriott Danbury
219,Santa Isabel Do Rio Negro,BR,81.54,2021-07-25 15:21:50,-0.4139,-65.0192,Hotel GSA
220,Uige,AO,82.42,2021-07-25 15:21:50,-7.6087,15.0613,Hotel Catraio
221,Bernalillo,US,80.67,2021-07-25 15:17:35,35.05,-106.6673,DoubleTree by Hilton Hotel Albuquerque
222,Salalah,OM,78.89,2021-07-25 15:19:03,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
224,Horasan,TR,88.12,2021-07-25 15:21:51,40.0458,42.1728,Horasan Öğretmenevi
226,Maragogi,BR,78.06,2021-07-25 15:19:32,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
227,Mandan,US,80.01,2021-07-25 15:21:52,46.8267,-100.8896,Twin City Estates
228,Muros,ES,78.15,2021-07-25 15:21:45,42.7762,-9.0603,Apartment Av. Castelao
230,Markova,UA,80.19,2021-07-25 15:21:53,48.6758,24.4138,Vas.VOM
231,Yokadouma,CM,78.31,2021-07-25 15:21:53,3.5167,15.05,Hôtel De Ville De Yokadouma
233,Raudeberg,NO,78.4,2021-07-25 15:17:17,61.9875,5.1352,Nordre Silda.
235,San Policarpo,PH,82.0,2021-07-25 15:21:54,12.1791,125.5072,JM Lodge
238,Chiang Mai,TH,80.67,2021-07-25 15:21:55,18.75,99.0,"Holiday Inn Chiangmai, an IHG Hotel"
239,Nchelenge,ZM,77.36,2021-07-25 15:21:55,-9.3451,28.734,KD Travellers Home
241,Mangrol,IN,80.04,2021-07-25 15:21:56,21.1167,70.1167,Hotel The Royal Honours
242,Roebourne,AU,71.13,2021-07-25 15:21:56,-20.7833,117.1333,Latitude20 Roebourne Village
244,Hamilton,US,85.98,2021-07-25 15:21:57,39.1834,-84.5333,Six Acres Bed & Breakfast
247,Kinshasa,CD,82.78,2021-07-25 15:20:37,-4.3246,15.3215,Flat Hotel Alhdeef
251,Tura,IN,77.09,2021-07-25 15:21:58,25.5198,90.2201,Hotel RIKMAN Continental
254,Grafton,US,70.48,2021-07-25 15:17:52,42.207,-71.6856,The Grafton Inn
255,Bowie,US,89.69,2021-07-25 15:21:59,33.4501,-94.4335,"Holiday Inn Express & Suites New Boston, an IHG Hotel"
256,Olinda,BR,78.53,2021-07-25 15:21:59,-8.0089,-34.8553,Hotel Albergue de Olinda
257,Hurghada,EG,89.15,2021-07-25 15:22:00,27.2574,33.8129,Sea Star Beau Rivage Hotel
259,Sao Filipe,CV,74.48,2021-07-25 15:22:00,14.8961,-24.4956,Hotel Xaguate
261,Kurchum,KZ,78.85,2021-07-25 15:22:01,48.5722,83.6542,"Gostinitsa ""Kneda"""
264,Urumqi,CN,85.15,2021-07-25 15:22:02,43.801,87.6005,Hua Ling Grand Hotel Urumqi
265,Toba,JP,80.33,2021-07-25 15:22:02,34.4833,136.85,ホテル アルティア鳥羽
266,Fairview,US,78.66,2021-07-25 15:22:03,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
267,Lazaro Cardenas,MX,82.42,2021-07-25 15:17:51,17.9583,-102.2,quinta antigua
269,Grand Gaube,MU,72.0,2021-07-25 15:22:03,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
270,Faanui,PF,77.68,2021-07-25 15:22:04,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
274,Rongcheng,CN,75.67,2021-07-25 15:22:05,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
275,Mujiayingzi,CN,73.74,2021-07-25 15:22:05,42.1167,118.7833,Jinjiang Hotel
278,Moussoro,TD,77.56,2021-07-25 15:22:06,13.6408,16.4901,Pharmacie alnadja Moussoro
279,Oistins,BB,86.09,2021-07-25 15:22:06,13.0667,-59.5333,Butterfly Beach Hotel
280,Brigantine,US,81.32,2021-07-25 15:22:07,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
281,Iquitos,PE,84.24,2021-07-25 15:19:53,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
283,Makakilo City,US,77.32,2021-07-25 15:22:08,21.3469,-158.0858,Marriott's Ko Olina Beach Club
285,Terme,TR,81.97,2021-07-25 15:22:08,41.2092,36.9739,OTEL GÜVEN TERME
286,Bone,DE,87.44,2021-07-25 15:22:08,51.9669,12.1396,Sporthotel Wallwitz
289,Hadejia,NG,88.72,2021-07-25 15:22:10,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
295,Negombo,LK,79.95,2021-07-25 15:22:11,7.2083,79.8358,Hotel Sunset Beach
297,Kaputa,ZM,74.93,2021-07-25 15:22:12,-8.4689,29.6619,Chelelwa Charlets
300,Katsuura,JP,81.1,2021-07-25 15:22:13,35.1333,140.3,Katsuura Hotel Mikazuki
301,Bathsheba,BB,86.61,2021-07-25 15:18:54,13.2167,-59.5167,Atlantis Hotel
302,Trojes,AL,88.29,2021-07-25 15:22:13,41.756,19.962,Sofra e Kthellës
309,Virden,US,82.89,2021-07-25 15:22:15,39.5009,-89.7679,Virden Nail Spa
311,Cabo Rojo,PR,89.98,2021-07-25 15:22:16,18.0866,-67.1457,Hotel Perichi's
315,Danville,US,86.2,2021-07-25 15:18:02,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
317,Kihei,US,77.85,2021-07-25 15:18:19,20.785,-156.4656,Maui Sunset
324,Winnemucca,US,77.05,2021-07-25 15:22:19,40.973,-117.7357,Winners Inn Casino
325,Puerto Leguizamo,CO,77.65,2021-07-25 15:22:20,-0.1934,-74.7819,la casona de juancho
326,Banda Aceh,ID,80.94,2021-07-25 15:20:43,5.5577,95.3222,Sulthan Hotel International
327,Noumea,NC,70.0,2021-07-25 15:22:20,-22.2763,166.4572,Hôtel Le Lagon
328,Praia,CV,82.94,2021-07-25 15:18:19,14.9215,-23.5087,LT Aparthotel
329,Suixi,CN,76.55,2021-07-25 15:22:21,33.8907,116.7747,Campanile Hotel
331,Orumiyeh,IR,89.15,2021-07-25 15:22:21,37.5527,45.0761,Urmia Kimia Mah Hotel
332,Shimoda,JP,80.71,2021-07-25 15:22:22,34.6667,138.95,Shimoda Tokyu Hotel
333,Elkhart,US,83.55,2021-07-25 15:21:51,41.5823,-85.8344,"Holiday Inn Express & Suites Goshen, an IHG Hotel"
334,Colares,PT,77.29,2021-07-25 15:22:22,38.7992,-9.4469,Arribas Sintra Hotel
335,Boa Vista,BR,82.38,2021-07-25 15:18:02,2.8197,-60.6733,Aipana Plaza Hotel
336,Sola,VU,74.07,2021-07-25 15:22:23,-13.8833,167.55,Leumerus Bungalows
338,Norden,DE,77.95,2021-07-25 15:22:23,53.6,7.2,Stadthotel Restaurant Smutje
339,Charleston,US,87.03,2021-07-25 15:18:45,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
341,Bitung,ID,81.45,2021-07-25 15:20:38,1.4451,125.1824,K2 Lembeh
346,Sambava,MG,70.45,2021-07-25 15:22:25,-14.2667,50.1667,Melrose
347,Talas,TR,83.07,2021-07-25 15:22:25,38.6908,35.5538,Fimaj Residence
350,Oussouye,SN,80.49,2021-07-25 15:22:26,12.485,-16.5469,Auberge du Routard
351,Laguna,US,81.45,2021-07-25 15:22:27,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
355,Non Thai,TH,80.1,2021-07-25 15:22:28,15.1981,102.0358,ตุ้ยการช่าง โคราช
356,Vianopolis,BR,75.27,2021-07-25 15:22:28,-16.7419,-48.5164,Hotel Regente
357,Ardahan,TR,70.68,2021-07-25 15:22:28,41.1087,42.7022,Kafkas Ari Hotel
358,Kerema,PG,76.42,2021-07-25 15:22:29,-7.9631,145.7785,Frena Lodge
359,Hobara,JP,74.35,2021-07-25 15:22:29,37.8167,140.55,高子荘
360,Vila Velha,BR,76.95,2021-07-25 15:22:29,-20.3297,-40.2925,Quality Suites Vila Velha
362,Lakeway,US,88.3,2021-07-25 15:22:30,30.3638,-97.9796,Lakeway Resort and Spa
363,Aleksandrov Gay,RU,80.73,2021-07-25 15:22:30,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
371,Bacolod,PH,79.3,2021-07-25 15:22:32,10.6667,122.95,Planta Hotel & Residences
372,Bambous Virieux,MU,71.85,2021-07-25 15:17:57,-20.3428,57.7575,Casa Tia Villa
373,Glen Allen,US,84.42,2021-07-25 15:22:33,37.666,-77.5064,Courtyard by Marriott Richmond North/Glen Allen
374,Shahgarh,IN,79.34,2021-07-25 15:19:12,24.3167,79.1333,jain chat centar
378,Havelock,US,85.01,2021-07-25 15:22:34,34.8791,-76.9013,Sherwood Motel
380,Broome,US,79.48,2021-07-25 15:22:34,42.2506,-75.833,Chenango Valley State Park
384,Anloga,GH,80.82,2021-07-25 15:22:35,5.7947,0.8973,Pin Drop Hotel
385,Elmina,GH,79.63,2021-07-25 15:22:36,5.0898,-1.348,Esteem Kofi and Adjoa Guesthouse
386,Saint-Francois,FR,80.42,2021-07-25 15:22:36,46.4154,3.9054,Manoir Du Bonheur
387,Porto Novo,BJ,82.22,2021-07-25 15:22:36,6.4965,2.6036,Tour Eiffel Hotel Benin
388,Coruripe,BR,78.26,2021-07-25 15:22:37,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
389,Sioux Lookout,CA,71.98,2021-07-25 15:22:37,50.1001,-91.917,Knobby's Fly-In Camps
390,Newton Stewart,GB,73.35,2021-07-25 15:22:37,54.9578,-4.4832,The Bruce Hotel
393,Port Said,EG,80.85,2021-07-25 15:22:38,31.2565,32.2841,Aracan Hotel
394,Eyl,SO,85.21,2021-07-25 15:22:39,7.9803,49.8164,Amiin Hotel
396,Mahebourg,MU,71.89,2021-07-25 15:22:39,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
397,Presidente Epitacio,BR,85.05,2021-07-25 15:22:39,-21.7633,-52.1156,Hotel Itaverá
398,Selu,IN,78.46,2021-07-25 15:22:40,19.4667,76.4667,Bhumare M.G
399,San Patricio,US,88.88,2021-07-25 15:22:40,28.017,-97.5169,"Motel 6 Sinton, TX"
401,Fukue,JP,80.1,2021-07-25 15:22:41,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
402,Liaocheng,CN,80.2,2021-07-25 15:22:41,36.4439,115.9647,凯旋宫大酒店
405,Grand-Santi,GF,87.84,2021-07-25 15:18:11,4.25,-54.3833,Hotel La Villa Couacou
409,Amahai,ID,76.33,2021-07-25 15:22:43,-3.3333,128.9167,HOTEL ISABELA
410,Valdemarpils,LV,78.22,2021-07-25 15:22:44,57.3707,22.5919,Guest House Laumas
411,Ryotsu,JP,78.62,2021-07-25 15:22:44,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
418,Macau,MO,86.99,2021-07-25 15:22:46,22.2006,113.5461,Grand Emperor Hotel
419,Torit,SS,70.02,2021-07-25 15:22:46,4.4133,32.5678,Diplomat Guest House
420,Bandarbeyla,SO,83.5,2021-07-25 15:22:46,9.4942,50.8122,JABIR HOTEL
421,Coahuayana,MX,85.48,2021-07-25 15:22:47,18.7333,-103.6833,El rranchito michuacan de ocampos
422,Derzhavinsk,KZ,75.02,2021-07-25 15:22:47,51.1,66.3167,Ooo.khim Baza
423,Zaozerne,UA,81.95,2021-07-25 15:22:47,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
425,Benghazi,LY,83.46,2021-07-25 15:22:48,32.1167,20.0667,Tibesti Hotel
426,Luang Prabang,LA,74.97,2021-07-25 15:22:48,19.8856,102.1347,Villa Oasis
427,Pandan,PH,82.31,2021-07-25 15:22:49,14.0453,124.1694,Bonifacio Lodge
428,Ipixuna,BR,87.75,2021-07-25 15:22:49,-1.7625,-48.8043,Casa da Oscarina
430,Plattsburgh,US,76.41,2021-07-25 15:22:50,44.6995,-73.4529,La Quinta Inn & Suites by Wyndham Plattsburgh
431,Det Udom,TH,76.82,2021-07-25 15:22:50,14.906,105.0784,Chatsuda Resort
433,Tallahassee,US,85.93,2021-07-25 15:22:12,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
434,Bardiyah,LY,80.74,2021-07-25 15:22:51,31.7561,25.0865,بورتو بردية
435,Kitami,JP,70.12,2021-07-25 15:22:51,43.8031,143.8908,Toyoko INN Kitami Ekimae
436,Kankaanpaa,FI,83.8,2021-07-25 15:22:52,61.8,22.4167,Kuntoutuskeskus Kankaanpää
437,Gorontalo,ID,75.83,2021-07-25 15:22:52,0.5412,123.0595,Maqna Hotel by Prasanthi
439,Presidencia Roque Saenz Pena,AR,87.22,2021-07-25 15:18:04,-26.7852,-60.4388,Hotel Gualok
440,Kuito,AO,75.34,2021-07-25 15:22:53,-12.3833,16.9333,Herdeiros de Antunes Capusso
442,Biak,ID,75.31,2021-07-25 15:22:53,-0.9131,122.8766,Penginapan Kim
445,Savona,IT,83.53,2021-07-25 15:22:54,44.3,8.2667,B&B Le Stanze del Moro
446,Belyy Yar,RU,73.29,2021-07-25 15:22:55,53.6039,91.3903,Pasportnyy Stol
447,Seoul,KR,81.97,2021-07-25 15:20:12,37.5683,126.9778,롯데호텔 서울
448,Ventspils,LV,78.73,2021-07-25 15:22:55,57.3894,21.5606,Jūras brīze
449,Kudahuvadhoo,MV,82.62,2021-07-25 15:22:55,2.6708,72.8944,Niyama Private Islands Maldives
451,Kongolo,CD,89.47,2021-07-25 15:22:56,-5.3833,27.0,Mustafa Zengin Büyük Çerkes Düklüğü
453,Luau,AO,82.44,2021-07-25 15:22:57,-10.7073,22.2247,Casa- Bernardo Cândido
455,French Harbor,HN,86.0,2021-07-25 15:22:57,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
457,Owo,NG,77.22,2021-07-25 15:22:58,7.1962,5.5868,The Chancery Hotel and Resort limited
458,Kahului,US,78.84,2021-07-25 15:22:58,20.8947,-156.47,Maui Seaside Hotel
459,Shakawe,BW,73.78,2021-07-25 15:22:58,-18.3667,21.85,Ditlhapi Guest House
461,Neftcala,AZ,84.2,2021-07-25 15:22:59,39.3742,49.2472,Otel restoran
462,Capelinha,BR,70.3,2021-07-25 15:20:22,-17.6914,-42.5158,Marinho Plaza Hotel
463,Asau,RO,81.95,2021-07-25 15:21:11,46.4333,26.4,Casa Mika Ciobanus
465,Mombetsu,JP,70.86,2021-07-25 15:23:00,44.3525,143.3525,Okhotsk Palace Hotel
466,Cayenne,GF,84.24,2021-07-25 15:23:00,4.9333,-52.3333,Hôtel Le Dronmi
477,Englehart,CA,70.36,2021-07-25 15:23:03,47.8169,-79.8664,"The Englehart Motel & Restaurant- Best Hotel & Motel in Englehart ,Ontario,Canada"
478,Tulsipur,NP,79.05,2021-07-25 15:23:04,28.131,82.2973,Ekanta Hotel Pvt. Ltd
